"Step","cosmic-field-350 - immediate_reward","cosmic-field-350 - immediate_reward__MIN","cosmic-field-350 - immediate_reward__MAX"
"76760","1","1","1"
"76820","1","1","1"
"76973","0","0","0"
"77249","0","0","0"
"77271","0","0","0"
"77346","0","0","0"
"77354","0","0","0"
"77522","0","0","0"
"77642","0","0","0"
"77688","2","2","2"
"77916","0","0","0"
"78150","0","0","0"
"78527","0","0","0"
"78584","0","0","0"
"78658","0","0","0"
"78745","0","0","0"
"78815","0","0","0"
"78945","0","0","0"
"79009","0","0","0"
"79092","0","0","0"
"79835","0","0","0"
"80203","0","0","0"
"80284","0","0","0"
"80651","0","0","0"
"80756","0","0","0"
"81277","0","0","0"
"81296","1","1","1"
"81443","0","0","0"
"81542","0","0","0"
"81606","0","0","0"
"81630","0","0","0"
"81873","0","0","0"
"81967","0","0","0"
"82036","0","0","0"
"82311","0","0","0"
"82331","0","0","0"
"82452","0","0","0"
"82742","0","0","0"
"82867","0","0","0"
"82918","0","0","0"
"83235","0","0","0"
"83392","0","0","0"
"83449","0","0","0"
"83508","2","2","2"
"83631","0","0","0"
"83643","0","0","0"
"83736","0","0","0"
"83970","0","0","0"
"83974","0","0","0"
"84198","0","0","0"
"84341","0","0","0"
"84469","0","0","0"
"84473","0","0","0"
"84683","0","0","0"
"84993","0","0","0"
"85040","0","0","0"
"85284","0","0","0"
"85365","0","0","0"
"85383","0","0","0"
"85532","0","0","0"
"85605","0","0","0"
"85613","0","0","0"
"85928","0","0","0"
"85940","0","0","0"
"86111","0","0","0"
"86259","0","0","0"
"86444","0","0","0"
"86473","1","1","1"
"86503","1","1","1"
"86545","0","0","0"
"86874","0","0","0"
"86988","0","0","0"
"87103","0","0","0"
"87286","0","0","0"
"87355","0","0","0"
"87417","0","0","0"
"87591","0","0","0"
"88194","0","0","0"
"88221","0","0","0"
"88560","0","0","0"
"88683","0","0","0"
"88937","0","0","0"
"89004","0","0","0"
"89061","0","0","0"
"89119","0","0","0"
"89371","0","0","0"
"89489","0","0","0"
"89549","0","0","0"
"90367","0","0","0"
