"Step","kind-music-2 - mean_reward","kind-music-2 - mean_reward__MIN","kind-music-2 - mean_reward__MAX"
"30317","4.2","4.2","4.2"
"30422","4.1","4.1","4.1"
"30527","3.8","3.8","3.8"
"30656","4.8","4.8","4.8"
"30749","4.9","4.9","4.9"
"30846","5.2","5.2","5.2"
"30941","5.3","5.3","5.3"
"31030","5.3","5.3","5.3"
"31151","4","4","4"
"31270","4.4","4.4","4.4"
"31379","4.6","4.6","4.6"
"31480","4.7","4.7","4.7"
"31577","4.7","4.7","4.7"
"31682","3.8","3.8","3.8"
"31765","3.5","3.5","3.5"
"31876","3.6","3.6","3.6"
"32009","3.6","3.6","3.6"
"32104","3.7","3.7","3.7"
"32191","3.3","3.3","3.3"
"32296","2.7","2.7","2.7"
"32421","3","3","3"
"32510","2.9","2.9","2.9"
"32627","3.2","3.2","3.2"
"32724","3.2","3.2","3.2"
"32837","3.7","3.7","3.7"
"32944","3.6","3.6","3.6"
"33043","3.8","3.8","3.8"
"33128","3.5","3.5","3.5"
"33237","4.3","4.3","4.3"
"33376","5","5","5"
"33477","4.3","4.3","4.3"
"33602","4.8","4.8","4.8"
"33703","4.3","4.3","4.3"
"33862","5.3","5.3","5.3"
"33967","5","5","5"
"34084","5.2","5.2","5.2"
"34205","5.5","5.5","5.5"
"34290","5.5","5.5","5.5"
"34373","4.9","4.9","4.9"
"34474","4.1","4.1","4.1"
"34595","4.7","4.7","4.7"
"34712","4.4","4.4","4.4"
"34825","4.6","4.6","4.6"
"34930","3.9","3.9","3.9"
"35031","4.1","4.1","4.1"
"35152","4.3","4.3","4.3"
"35249","3.8","3.8","3.8"
"35354","4.5","4.5","4.5"
"35487","5.3","5.3","5.3"
"35588","5.4","5.4","5.4"
"35683","4.8","4.8","4.8"
"35774","4.6","4.6","4.6"
"35897","4.6","4.6","4.6"
"35994","4.6","4.6","4.6"
"36107","4.6","4.6","4.6"
"36190","3.9","3.9","3.9"
"36299","3.9","3.9","3.9"
"36406","3.5","3.5","3.5"
"36517","3.1","3.1","3.1"
"36606","3","3","3"
"36733","3.3","3.3","3.3"
"36848","4","4","4"
"36951","3.8","3.8","3.8"
"37054","3.9","3.9","3.9"
"37141","3.6","3.6","3.6"
"37244","4.1","4.1","4.1"
"37343","4.1","4.1","4.1"
"37438","4","4","4"
"37531","3.7","3.7","3.7"
"37650","3.7","3.7","3.7"
"37765","3.8","3.8","3.8"
"37862","3","3","3"
"37951","3.1","3.1","3.1"
"38050","2.9","2.9","2.9"
"38153","3","3","3"
"38244","2.6","2.6","2.6"
"38365","3.1","3.1","3.1"
"38446","2.9","2.9","2.9"
"38531","2.7","2.7","2.7"
"38610","2.5","2.5","2.5"
"38729","2.7","2.7","2.7"
"38830","2.9","2.9","2.9"
"38913","2.6","2.6","2.6"
"39020","2.7","2.7","2.7"
"39127","3","3","3"
"39218","3","3","3"
"39329","2.8","2.8","2.8"
"39464","4.1","4.1","4.1"
"39561","4.3","4.3","4.3"
"39674","4.7","4.7","4.7"
"39783","4.2","4.2","4.2"
"39900","4.2","4.2","4.2"
"39999","4.6","4.6","4.6"
"40124","5","5","5"
"40229","4.8","4.8","4.8"
"40334","5.3","5.3","5.3"
"40449","5.3","5.3","5.3"
"40576","4.3","4.3","4.3"
"40667","4.3","4.3","4.3"
"40762","4.1","4.1","4.1"
"40861","4.1","4.1","4.1"
"40944","4.1","4.1","4.1"
"41053","4","4","4"
"41162","3.8","3.8","3.8"
"41261","3.8","3.8","3.8"
"41364","3.4","3.4","3.4"
"41449","2.8","2.8","2.8"
"41564","3.2","3.2","3.2"
"41687","3.2","3.2","3.2"
"41774","3","3","3"
"41877","3","3","3"
"41982","3","3","3"
"42131","3.4","3.4","3.4"
"42238","3.4","3.4","3.4"
"42341","3.2","3.2","3.2"
"42440","3.1","3.1","3.1"
"42545","3.5","3.5","3.5"
"42638","3","3","3"
"42761","3.5","3.5","3.5"
"42870","4.1","4.1","4.1"
"42963","3.9","3.9","3.9"
"43042","3.6","3.6","3.6"
"43187","4.2","4.2","4.2"
"43280","3.9","3.9","3.9"
"43365","3.9","3.9","3.9"
"43472","4.4","4.4","4.4"
"43565","4.2","4.2","4.2"
"43676","4.7","4.7","4.7"
"43759","3.9","3.9","3.9"
"43852","3.5","3.5","3.5"
"43963","3.8","3.8","3.8"
"44080","4.5","4.5","4.5"
"44171","3.4","3.4","3.4"
"44274","3.1","3.1","3.1"
"44379","3.4","3.4","3.4"
"44462","2.8","2.8","2.8"
"44553","2.6","2.6","2.6"
"44656","2.1","2.1","2.1"
"44769","2.5","2.5","2.5"
"44868","2.4","2.4","2.4"
"44973","2.7","2.7","2.7"
"45058","2.1","2.1","2.1"
"45175","2.6","2.6","2.6"
"45286","3.3","3.3","3.3"
"45467","3.3","3.3","3.3"
"45616","4.4","4.4","4.4"
"45739","5.2","5.2","5.2"
"45832","5.4","5.4","5.4"
"45939","5.6","5.6","5.6"
"46054","6.2","6.2","6.2"
"46143","5.8","5.8","5.8"
"46248","6.2","6.2","6.2"
"46449","7.4","7.4","7.4"
"46544","6.8","6.8","6.8"
"46645","6.9","6.9","6.9"
"46736","6","6","6"
"46849","6.2","6.2","6.2"
"46958","6.1","6.1","6.1"
"47111","6","6","6"
"47238","6.1","6.1","6.1"
"47353","6.1","6.1","6.1"
"47472","6.6","6.6","6.6"
"47591","5.1","5.1","5.1"
"47704","5.3","5.3","5.3"
"47797","5","5","5"
"47944","6.3","6.3","6.3"
"48049","5.5","5.5","5.5"
"48148","5.6","5.6","5.6"
"48271","5.6","5.6","5.6"
"48356","4.8","4.8","4.8"
"48465","4.6","4.6","4.6"
"48568","4","4","4"
"48689","4.4","4.4","4.4"
"48798","4.3","4.3","4.3"
"48891","4.1","4.1","4.1"
"48988","2.9","2.9","2.9"
"49087","2.8","2.8","2.8"
"49182","2.7","2.7","2.7"
"49315","3.1","3.1","3.1"
"49442","4","4","4"
"49553","4.5","4.5","4.5"
"49662","4.3","4.3","4.3"
"49775","3.7","3.7","3.7"
"49914","4.8","4.8","4.8"
"50083","6.1","6.1","6.1"
"50188","5.9","5.9","5.9"
"50309","6.5","6.5","6.5"
"50416","6.5","6.5","6.5"
"50521","6","6","6"
"50654","5.8","5.8","5.8"
"50775","5.9","5.9","5.9"
"50872","5.7","5.7","5.7"
"50969","5.7","5.7","5.7"
"51096","5.5","5.5","5.5"
"51207","4.7","4.7","4.7"
"51336","5.4","5.4","5.4"
"51435","5.1","5.1","5.1"
"51542","4.9","4.9","4.9"
"51649","5.1","5.1","5.1"
"51742","4.7","4.7","4.7"
"51827","4.1","4.1","4.1"
"51948","5","5","5"
"52051","5.3","5.3","5.3"
"52174","5.4","5.4","5.4"
"52311","5.2","5.2","5.2"
"52446","4.7","4.7","4.7"
"52561","5.1","5.1","5.1"
"52690","5.6","5.6","5.6"
"52809","6","6","6"
"52942","6.4","6.4","6.4"
"53037","6.5","6.5","6.5"
"53152","6.4","6.4","6.4"
"53277","6.9","6.9","6.9"
"53378","6.3","6.3","6.3"
"53483","6.4","6.4","6.4"
"53590","6.4","6.4","6.4"
"53695","6.1","6.1","6.1"
"53806","6.2","6.2","6.2"
"53899","5.4","5.4","5.4"
"54030","5.8","5.8","5.8"
"54131","6.1","6.1","6.1"
"54248","6.1","6.1","6.1"
"54359","6","6","6"
"54478","5.4","5.4","5.4"
"54583","5.6","5.6","5.6"
"54724","6.2","6.2","6.2"
"54823","6","6","6"
"54928","5.5","5.5","5.5"
"55029","5.6","5.6","5.6"
"55130","4.7","4.7","4.7"
"55227","4.2","4.2","4.2"
