"Step","eternal-fog-16 - real_reward","eternal-fog-16 - real_reward__MIN","eternal-fog-16 - real_reward__MAX"
"47335","4.1","4.1","4.1"
"47424","4.2","4.2","4.2"
"47510","3.7","3.7","3.7"
"47611","3.7","3.7","3.7"
"47688","3","3","3"
"47783","2.8","2.8","2.8"
"47878","3.1","3.1","3.1"
"47964","2.9","2.9","2.9"
"48080","2.5","2.5","2.5"
"48220","2.4","2.4","2.4"
"48321","2.5","2.5","2.5"
"48437","2.6","2.6","2.6"
"48514","2.3","2.3","2.3"
"48615","2.4","2.4","2.4"
"48731","2.4","2.4","2.4"
"48871","2.4","2.4","2.4"
"48975","2.9","2.9","2.9"
"49100","2.7","2.7","2.7"
"49219","3.4","3.4","3.4"
"49335","3.7","3.7","3.7"
"49454","4.2","4.2","4.2"
"49552","4.4","4.4","4.4"
"49683","4.7","4.7","4.7"
"49805","4.8","4.8","4.8"
"49885","4.8","4.8","4.8"
"49986","4.8","4.8","4.8"
"50069","4.1","4.1","4.1"
"50164","4.3","4.3","4.3"
"50274","3.7","3.7","3.7"
"50375","3.4","3.4","3.4"
"50455","3","3","3"
"50556","2.7","2.7","2.7"
"50687","2.7","2.7","2.7"
"50797","3","3","3"
"50880","3.1","3.1","3.1"
"50969","3.5","3.5","3.5"
"51040","3.3","3.3","3.3"
"51144","3.2","3.2","3.2"
"51242","3.2","3.2","3.2"
"51337","3.4","3.4","3.4"
"51456","3.5","3.5","3.5"
"51545","3.4","3.4","3.4"
"51631","3.4","3.4","3.4"
"51744","3.3","3.3","3.3"
"51845","3.5","3.5","3.5"
"51955","3.5","3.5","3.5"
"52080","4.2","4.2","4.2"
"52166","3.8","3.8","3.8"
"52270","4","4","4"
"52356","3.6","3.6","3.6"
"52454","3.4","3.4","3.4"
"52531","3.3","3.3","3.3"
"52659","3.2","3.2","3.2"
"52760","3.6","3.6","3.6"
"52849","3.2","3.2","3.2"
"52920","2.9","2.9","2.9"
"53063","2.3","2.3","2.3"
"53140","2.5","2.5","2.5"
"53220","2.2","2.2","2.2"
"53336","2.7","2.7","2.7"
"53425","2.8","2.8","2.8"
"53529","3.5","3.5","3.5"
"53606","3.5","3.5","3.5"
"53683","2.7","2.7","2.7"
"53772","2.9","2.9","2.9"
"53867","3.2","3.2","3.2"
"53947","3.4","3.4","3.4"
"54066","3.8","3.8","3.8"
"54149","4.1","4.1","4.1"
"54229","3.7","3.7","3.7"
"54330","3.6","3.6","3.6"
"54428","3.4","3.4","3.4"
"54532","3.5","3.5","3.5"
"54642","3.9","3.9","3.9"
"54734","3.9","3.9","3.9"
"54826","3.8","3.8","3.8"
"54906","3.9","3.9","3.9"
"54995","3.4","3.4","3.4"
"55069","3","3","3"
"55215","4.8","4.8","4.8"
"55307","4.9","4.9","4.9"
"55387","4.8","4.8","4.8"
"55485","4.8","4.8","4.8"
"55562","4.3","4.3","4.3"
"55642","4.2","4.2","4.2"
"55728","4.1","4.1","4.1"
"55826","4.4","4.4","4.4"
"55975","4.5","4.5","4.5"
"56067","4.7","4.7","4.7"
"56174","2.9","2.9","2.9"
"56248","2.7","2.7","2.7"
"56346","2.3","2.3","2.3"
"56426","2.4","2.4","2.4"
"56527","2.7","2.7","2.7"
"56628","2.9","2.9","2.9"
"56708","2.7","2.7","2.7"
"56806","2.2","2.2","2.2"
"56892","2.2","2.2","2.2"
"57008","3","3","3"
"57115","3.3","3.3","3.3"
"57219","3.9","3.9","3.9"
"57323","4.2","4.2","4.2"
"57415","3.9","3.9","3.9"
"57501","3.8","3.8","3.8"
"57602","3.7","3.7","3.7"
"57676","3.7","3.7","3.7"
"57768","4","4","4"
"57851","4.2","4.2","4.2"
"57949","3.2","3.2","3.2"
"58029","3","3","3"
"58109","2.8","2.8","2.8"
"58204","3","3","3"
"58344","4","4","4"
"58460","4.7","4.7","4.7"
"58561","4.9","4.9","4.9"
"58638","5","5","5"
"58715","4.7","4.7","4.7"
"58789","4.4","4.4","4.4"
"58896","4.5","4.5","4.5"
"58982","4.6","4.6","4.6"
"59071","4.1","4.1","4.1"
"59169","3.9","3.9","3.9"
"59246","3","3","3"
"59344","2.6","2.6","2.6"
"59430","2.3","2.3","2.3"
"59507","2.2","2.2","2.2"
"59617","3","3","3"
"59691","3","3","3"
"59804","3.1","3.1","3.1"
"59899","2.8","2.8","2.8"
"60030","3.1","3.1","3.1"
"60125","3.4","3.4","3.4"
"60232","3.4","3.4","3.4"
"60333","2.8","2.8","2.8"
"60416","3.1","3.1","3.1"
"60523","3","3","3"
"60636","2.2","2.2","2.2"
"60749","2.8","2.8","2.8"
"60838","2.9","2.9","2.9"
"60924","3","3","3"
"61001","2.9","2.9","2.9"
"61114","2.7","2.7","2.7"
"61203","2.6","2.6","2.6"
"61298","2.9","2.9","2.9"
"61384","2.8","2.8","2.8"
"61470","3.1","3.1","3.1"
"61592","3.7","3.7","3.7"
"61678","3.3","3.3","3.3"
"61779","3.1","3.1","3.1"
"61877","3.7","3.7","3.7"
"61987","4.4","4.4","4.4"
"62079","4.4","4.4","4.4"
"62162","4.7","4.7","4.7"
"62266","4.9","4.9","4.9"
"62379","4.9","4.9","4.9"
"62477","5","5","5"
"62587","5","5","5"
"62745","6.2","6.2","6.2"
"62855","6.3","6.3","6.3"
"62935","5.8","5.8","5.8"
"63063","5.5","5.5","5.5"
"63137","5.2","5.2","5.2"
"63208","4.8","4.8","4.8"
"63309","4.7","4.7","4.7"
"63440","5","5","5"
"63577","5.5","5.5","5.5"
"63651","5.1","5.1","5.1"
"63752","4.1","4.1","4.1"
"63847","4.2","4.2","4.2"
"63978","4.5","4.5","4.5"
"64046","3.9","3.9","3.9"
"64138","4.2","4.2","4.2"
"64230","4.8","4.8","4.8"
"64349","4.6","4.6","4.6"
"64474","4.6","4.6","4.6"
"64566","4.1","4.1","4.1"
"64679","3.8","3.8","3.8"
"64771","3.5","3.5","3.5"
"64872","3.4","3.4","3.4"
"65021","3.2","3.2","3.2"
"65113","3.5","3.5","3.5"
"65217","3.7","3.7","3.7"
"65309","3.5","3.5","3.5"
"65401","3.4","3.4","3.4"
"65490","3","3","3"
"65573","3","3","3"
"65656","3.3","3.3","3.3"
"65760","3.4","3.4","3.4"
"65855","3.9","3.9","3.9"
"65935","3.6","3.6","3.6"
"66129","4.7","4.7","4.7"
"66221","4.4","4.4","4.4"
"66331","4","4","4"
"66507","4.2","4.2","4.2"
"66605","4.6","4.6","4.6"
"66688","4.3","4.3","4.3"
"66837","4.3","4.3","4.3"
"66920","4.1","4.1","4.1"
"67018","3.8","3.8","3.8"
"67092","3.9","3.9","3.9"
"67232","3","3","3"
"67336","3.3","3.3","3.3"
"67458","3.7","3.7","3.7"
"67562","4.3","4.3","4.3"
"67645","4","4","4"
"67737","4.6","4.6","4.6"
"67862","4.6","4.6","4.6"
"67951","5","5","5"
"68034","4.6","4.6","4.6"
"68126","4.7","4.7","4.7"
"68221","4.5","4.5","4.5"
"68325","4.2","4.2","4.2"
"68426","4.1","4.1","4.1"
"68545","3.9","3.9","3.9"
"68652","3.6","3.6","3.6"
"68762","3.9","3.9","3.9"
"68833","3.6","3.6","3.6"
"68952","3.6","3.6","3.6"
"69083","4.4","4.4","4.4"
"69181","4.3","4.3","4.3"
"69279","4.3","4.3","4.3"
"69464","4.9","4.9","4.9"
"69547","5","5","5"
"69633","4.5","4.5","4.5"
"69803","4.7","4.7","4.7"
"69931","4.7","4.7","4.7"
"70017","5.1","5.1","5.1"
"70133","4.7","4.7","4.7"
"70246","4.2","4.2","4.2"
"70383","4.5","4.5","4.5"
"70493","4.7","4.7","4.7"
"70588","4.6","4.6","4.6"
"70698","4.4","4.4","4.4"
"70805","5","5","5"
"70924","5.5","5.5","5.5"
"71040","5.3","5.3","5.3"
"71144","5.3","5.3","5.3"
"71227","5.5","5.5","5.5"
"71310","5.4","5.4","5.4"
"71447","5.7","5.7","5.7"
"71581","5.6","5.6","5.6"
"71670","5.1","5.1","5.1"
"71789","5.2","5.2","5.2"
"71881","4.5","4.5","4.5"
"71991","4.3","4.3","4.3"
"72110","4.5","4.5","4.5"
"72247","5.3","5.3","5.3"
"72369","5.5","5.5","5.5"
"72467","5.7","5.7","5.7"
"72550","5.2","5.2","5.2"
"72651","5.1","5.1","5.1"
"72737","5.3","5.3","5.3"
"72850","5.6","5.6","5.6"
"72948","5.6","5.6","5.6"
"73115","6.7","6.7","6.7"
"73219","6.2","6.2","6.2"
"73323","5.2","5.2","5.2"
"73424","4.8","4.8","4.8"
"73540","5","5","5"
"73641","5.5","5.5","5.5"
"73787","5.2","5.2","5.2"
"73900","4.9","4.9","4.9"
"74010","4.7","4.7","4.7"
"74165","4.9","4.9","4.9"
"74263","3.5","3.5","3.5"
"74337","3.1","3.1","3.1"
"74420","2.9","2.9","2.9"
"74533","3","3","3"
"74613","2.7","2.7","2.7"
"74690","2.1","2.1","2.1"
"74764","2.5","2.5","2.5"
"74880","2.7","2.7","2.7"
"75005","2.6","2.6","2.6"
"75097","2.5","2.5","2.5"
"75180","2.7","2.7","2.7"
"75275","3","3","3"
"75370","3.5","3.5","3.5"
"75477","3.8","3.8","3.8"
"75590","4","4","4"
"75781","4.8","4.8","4.8"
"75885","4.7","4.7","4.7"
"75974","4.7","4.7","4.7"
"76057","4.5","4.5","4.5"
"76254","5.7","5.7","5.7"
"76343","5.7","5.7","5.7"
"76462","5.6","5.6","5.6"
"76575","5.5","5.5","5.5"
"76673","5.3","5.3","5.3"
"76762","5.2","5.2","5.2"
"76863","4.7","4.7","4.7"
"77000","4.8","4.8","4.8"
"77107","4.9","4.9","4.9"
"77217","5","5","5"
"77375","6.1","6.1","6.1"
"77470","6","6","6"
"77568","6.1","6.1","6.1"
"77660","5.8","5.8","5.8"
"77770","6.3","6.3","6.3"
"77862","6.4","6.4","6.4"
"77948","6.3","6.3","6.3"
"78037","6.4","6.4","6.4"
"78111","6","6","6"
"78191","6.2","6.2","6.2"
"78289","3.7","3.7","3.7"
"78414","3.5","3.5","3.5"
"78509","3.5","3.5","3.5"
"78604","3.7","3.7","3.7"
"78747","3","3","3"
"78833","2.8","2.8","2.8"
"78955","3.1","3.1","3.1"
"79086","3.2","3.2","3.2"
"79172","3.3","3.3","3.3"
"79249","3.1","3.1","3.1"
"79329","3.3","3.3","3.3"
"79445","3.4","3.4","3.4"
"79537","3.4","3.4","3.4"
"79677","3.1","3.1","3.1"
"79799","3","3","3"
"79960","3","3","3"
"80076","3.2","3.2","3.2"
"80219","3.4","3.4","3.4"
"80296","3.5","3.5","3.5"
"80373","3.6","3.6","3.6"
"80486","4","4","4"
"80584","4","4","4"
"80688","4.2","4.2","4.2"
"80798","4.8","4.8","4.8"
"80881","5.1","5.1","5.1"
"80958","5.1","5.1","5.1"
"81050","4.5","4.5","4.5"
"81130","3.9","3.9","3.9"
"81273","4","4","4"
