"Step","cosmic-field-350 - mean_reward","cosmic-field-350 - mean_reward__MIN","cosmic-field-350 - mean_reward__MAX"
"48974","2.8","2.8","2.8"
"49081","2.7","2.7","2.7"
"49190","2.8","2.8","2.8"
"49293","3.3","3.3","3.3"
"49388","3.1","3.1","3.1"
"49475","2.2","2.2","2.2"
"49564","2.2","2.2","2.2"
"49707","3","3","3"
"49798","3","3","3"
"49885","3.3","3.3","3.3"
"49992","3.7","3.7","3.7"
"50085","3.3","3.3","3.3"
"50184","3.5","3.5","3.5"
"50345","4.1","4.1","4.1"
"50466","4.5","4.5","4.5"
"50577","5.2","5.2","5.2"
"50682","5.3","5.3","5.3"
"50763","4.5","4.5","4.5"
"50854","4.3","4.3","4.3"
"50945","4","4","4"
"51048","3.8","3.8","3.8"
"51147","3.8","3.8","3.8"
"51252","3.4","3.4","3.4"
"51353","2.4","2.4","2.4"
"51460","2.4","2.4","2.4"
"51567","2","2","2"
"51692","2.2","2.2","2.2"
"51789","2.3","2.3","2.3"
"51900","2.7","2.7","2.7"
"51997","2.8","2.8","2.8"
"52100","2.9","2.9","2.9"
"52197","3.2","3.2","3.2"
"52298","3.6","3.6","3.6"
"52383","3.5","3.5","3.5"
"52472","3","3","3"
"52575","3.2","3.2","3.2"
"52668","2.7","2.7","2.7"
"52803","3.4","3.4","3.4"
"52914","3","3","3"
"53045","3.9","3.9","3.9"
"53140","3.7","3.7","3.7"
"53257","3.8","3.8","3.8"
"53346","3.4","3.4","3.4"
"53459","3.8","3.8","3.8"
"53550","3.8","3.8","3.8"
"53675","4.2","4.2","4.2"
"53786","4.6","4.6","4.6"
"53899","4.1","4.1","4.1"
"54000","4.1","4.1","4.1"
"54117","3.8","3.8","3.8"
"54222","4.2","4.2","4.2"
"54349","4.7","4.7","4.7"
"54458","5.1","5.1","5.1"
"54561","5","5","5"
"54682","5.7","5.7","5.7"
"54783","5.2","5.2","5.2"
"54912","5.4","5.4","5.4"
"54993","5.1","5.1","5.1"
"55096","5","5","5"
"55185","4.3","4.3","4.3"
"55282","4","4","4"
"55389","3.5","3.5","3.5"
"55508","3.9","3.9","3.9"
"55615","3.9","3.9","3.9"
"55724","3.6","3.6","3.6"
"55843","4.2","4.2","4.2"
"55956","4","4","4"
"56053","4.2","4.2","4.2"
"56166","4.8","4.8","4.8"
"56257","4.9","4.9","4.9"
"56362","4.8","4.8","4.8"
"56459","4.6","4.6","4.6"
"56558","4.1","4.1","4.1"
"56657","4","4","4"
"56782","4.3","4.3","4.3"
"56863","3.3","3.3","3.3"
"56978","3.7","3.7","3.7"
"57063","3.5","3.5","3.5"
"57152","3.1","3.1","3.1"
"57251","3.1","3.1","3.1"
"57346","3.3","3.3","3.3"
"57439","3.3","3.3","3.3"
"57560","3.5","3.5","3.5"
"57679","3.6","3.6","3.6"
"57776","2.9","2.9","2.9"
"57871","3.2","3.2","3.2"
"57956","2.4","2.4","2.4"
"58049","2.6","2.6","2.6"
"58152","2.5","2.5","2.5"
"58233","2.4","2.4","2.4"
"58330","2.5","2.5","2.5"
"58441","2.6","2.6","2.6"
"58540","2.4","2.4","2.4"
"58685","3.1","3.1","3.1"
"58786","3.6","3.6","3.6"
"58897","4","4","4"
"58984","4","4","4"
"59099","4.4","4.4","4.4"
"59188","4.6","4.6","4.6"
"59299","5.2","5.2","5.2"
"59416","5.6","5.6","5.6"
"59509","5.5","5.5","5.5"
"59636","5.9","5.9","5.9"
"59741","5.3","5.3","5.3"
"59866","5.8","5.8","5.8"
"59975","5.8","5.8","5.8"
"60092","6.4","6.4","6.4"
"60209","6.2","6.2","6.2"
"60316","6.3","6.3","6.3"
"60411","5.8","5.8","5.8"
"60502","5.1","5.1","5.1"
"60601","5.3","5.3","5.3"
"60700","5","5","5"
"60785","4.5","4.5","4.5"
"60892","3.9","3.9","3.9"
"60989","3.4","3.4","3.4"
"61104","3.3","3.3","3.3"
"61217","3.4","3.4","3.4"
"61336","3.9","3.9","3.9"
"61431","3.9","3.9","3.9"
"61560","4.6","4.6","4.6"
"61681","4.9","4.9","4.9"
"61778","4.8","4.8","4.8"
"61869","5","5","5"
"61978","4.7","4.7","4.7"
"62099","5.4","5.4","5.4"
"62198","5","5","5"
"62319","5","5","5"
"62428","4.6","4.6","4.6"
"62519","4.6","4.6","4.6"
"62688","4.9","4.9","4.9"
"62831","5.5","5.5","5.5"
"62920","5.4","5.4","5.4"
"63013","5.4","5.4","5.4"
"63110","5.4","5.4","5.4"
"63275","6","6","6"
"63372","6.1","6.1","6.1"
"63463","5.9","5.9","5.9"
"63566","5.8","5.8","5.8"
"63655","5.8","5.8","5.8"
"63790","5.7","5.7","5.7"
"63919","5.6","5.6","5.6"
"64008","5.4","5.4","5.4"
"64105","5.5","5.5","5.5"
"64232","6.1","6.1","6.1"
