"Step","kind-music-2 - immediate_reward","kind-music-2 - immediate_reward__MIN","kind-music-2 - immediate_reward__MAX"
"90313","0","0","0"
"90408","0","0","0"
"90531","0","0","0"
"90793","1","1","1"
"90953","0","0","0"
"91112","0","0","0"
"91150","0","0","0"
"91453","0","0","0"
"91471","0","0","0"
"91636","2","2","2"
"91678","0","0","0"
"91779","0","0","0"
"91799","0","0","0"
"92171","0","0","0"
"92289","0","0","0"
"92515","0","0","0"
"92560","0","0","0"
"92713","0","0","0"
"92944","0","0","0"
"93683","0","0","0"
"93894","0","0","0"
"94384","0","0","0"
"94566","0","0","0"
"94698","0","0","0"
"94860","0","0","0"
"95009","0","0","0"
"95091","0","0","0"
"95152","2","2","2"
"95848","0","0","0"
"96193","0","0","0"
"96259","1","1","1"
"96275","0","0","0"
"96368","0","0","0"
"96873","0","0","0"
"96877","0","0","0"
"97671","1","1","1"
"97699","0","0","0"
"97812","0","0","0"
"97822","0","0","0"
"97891","1","1","1"
"97911","0","0","0"
"97975","0","0","0"
"98050","0","0","0"
"98090","0","0","0"
"98417","0","0","0"
"98437","0","0","0"
"98487","0","0","0"
"98672","0","0","0"
"98684","0","0","0"
"98729","0","0","0"
"99150","0","0","0"
"99204","0","0","0"
"99540","0","0","0"
"99576","1","1","1"
"99785","0","0","0"
"99817","0","0","0"
"99846","0","0","0"
"99872","0","0","0"
"100156","0","0","0"
"100164","0","0","0"
"100366","0","0","0"
"100685","0","0","0"
"100707","0","0","0"
"100945","0","0","0"
"101436","0","0","0"
"101757","0","0","0"
"101954","1","1","1"
"102023","0","0","0"
"102073","0","0","0"
"102115","0","0","0"
"102149","0","0","0"
"102236","0","0","0"
"102252","0","0","0"
"102300","0","0","0"
"102345","0","0","0"
"102596","1","1","1"
"102687","0","0","0"
"103203","1","1","1"
"103255","0","0","0"
"103425","1","1","1"
"103753","0","0","0"
"103981","0","0","0"
"104211","0","0","0"
"104447","0","0","0"
"104767","0","0","0"
"104786","0","0","0"
"104986","0","0","0"
"105095","0","0","0"
"105163","1","1","1"
"105187","0","0","0"
"105202","0","0","0"
"105409","0","0","0"
"105782","1","1","1"
"105901","0","0","0"
"105941","0","0","0"
"106351","0","0","0"
"106387","1","1","1"
"106395","0","0","0"
"106540","0","0","0"
"106576","0","0","0"
"106673","0","0","0"
"106708","0","0","0"
"106849","0","0","0"
"106956","1","1","1"
"107228","0","0","0"
"107273","0","0","0"
"107723","0","0","0"
"107765","1","1","1"
"108178","0","0","0"
"108763","0","0","0"
"108919","0","0","0"
"109310","0","0","0"
"109410","0","0","0"
"109491","0","0","0"
"109608","0","0","0"
"109687","0","0","0"
"109776","0","0","0"
"109780","0","0","0"
"110061","0","0","0"
"110299","0","0","0"
"110307","0","0","0"
"110834","0","0","0"
"111249","0","0","0"
"111269","0","0","0"
"111414","0","0","0"
"111713","0","0","0"
"112035","0","0","0"
"112269","0","0","0"
"112275","0","0","0"
"112376","0","0","0"
"113005","0","0","0"
"113045","0","0","0"
"113463","0","0","0"
"113586","0","0","0"
"113666","0","0","0"
"113690","0","0","0"
"114053","0","0","0"
"114376","0","0","0"
"114686","0","0","0"
"114700","0","0","0"
"115079","0","0","0"
"115103","0","0","0"
"115230","0","0","0"
"115485","0","0","0"
"115920","0","0","0"
"116347","1","1","1"
"116476","0","0","0"
"117167","0","0","0"
"117279","0","0","0"
"117577","0","0","0"
"117995","0","0","0"
"118052","0","0","0"
"118076","0","0","0"
"118398","0","0","0"
"118425","0","0","0"
"118453","0","0","0"
"118561","0","0","0"
"118606","1","1","1"
"118656","0","0","0"
"118699","0","0","0"
"119057","0","0","0"
"119129","0","0","0"
"119329","0","0","0"
"119345","0","0","0"
"119630","0","0","0"
"119729","0","0","0"
"119783","1","1","1"
"119811","0","0","0"
"119837","0","0","0"
"119868","0","0","0"
"120105","0","0","0"
"120107","0","0","0"
"120311","0","0","0"
"120339","0","0","0"
"120525","0","0","0"
"120541","0","0","0"
"120735","0","0","0"
"120957","0","0","0"
"121248","0","0","0"
"121320","0","0","0"
"121328","0","0","0"
"121380","0","0","0"
"121594","1","1","1"
"121643","0","0","0"
"121734","0","0","0"
"121802","0","0","0"
"122014","0","0","0"
"122072","0","0","0"
"122080","0","0","0"
"122155","0","0","0"
"122265","0","0","0"
"122272","0","0","0"
"122442","0","0","0"
"122852","0","0","0"
"122943","0","0","0"
"123069","0","0","0"
"123215","0","0","0"
"123239","1","1","1"
"123802","0","0","0"
"123989","0","0","0"
"124102","1","1","1"
"124344","1","1","1"
"124350","0","0","0"
"124627","0","0","0"
"124760","0","0","0"
"125049","1","1","1"
"125051","0","0","0"
"125355","0","0","0"
"125409","0","0","0"
"125746","0","0","0"
"125811","1","1","1"
"125813","0","0","0"
"125865","1","1","1"
"125900","1","1","1"
"126153","0","0","0"
"126427","0","0","0"
"126491","0","0","0"
"126806","0","0","0"
"127147","0","0","0"
"127503","0","0","0"
"127519","0","0","0"
"127657","0","0","0"
"128013","0","0","0"
"128108","0","0","0"
"128132","0","0","0"
"128161","0","0","0"
"128183","0","0","0"
"128189","0","0","0"
"128395","1","1","1"
"128775","0","0","0"
"128797","1","1","1"
"129131","0","0","0"
"129213","0","0","0"
"129264","1","1","1"
"129451","0","0","0"
"130180","0","0","0"
"130676","0","0","0"
"130805","0","0","0"
"130886","0","0","0"
"131210","0","0","0"
"131227","0","0","0"
"131412","0","0","0"
"131492","0","0","0"
"131547","0","0","0"
"131630","0","0","0"
"131690","0","0","0"
"131995","0","0","0"
"132104","0","0","0"
"132284","0","0","0"
"132359","0","0","0"
"132520","0","0","0"
"132578","0","0","0"
"132641","0","0","0"
"132687","0","0","0"
"132828","0","0","0"
"132852","0","0","0"
"132986","0","0","0"
"132990","0","0","0"
"133074","0","0","0"
"133107","0","0","0"
"133377","0","0","0"
"133750","0","0","0"
"133947","0","0","0"
"134180","0","0","0"
"134324","0","0","0"
"134495","1","1","1"
"134644","1","1","1"
"134752","0","0","0"
"134820","0","0","0"
"134939","0","0","0"
"135000","0","0","0"
"135077","0","0","0"
"135336","0","0","0"
"135669","0","0","0"
"135794","2","2","2"
"135993","0","0","0"
"136028","0","0","0"
"136129","0","0","0"
"136139","0","0","0"
"136378","0","0","0"
"136671","0","0","0"
"136892","0","0","0"
"137031","0","0","0"
"137062","0","0","0"
"137263","0","0","0"
"137443","0","0","0"
"137662","0","0","0"
"137829","0","0","0"
"137892","0","0","0"
"138271","0","0","0"
"138319","0","0","0"
"138402","0","0","0"
"138513","0","0","0"
"138717","0","0","0"
"138836","0","0","0"
"138846","1","1","1"
"138903","0","0","0"
"139074","0","0","0"
"139209","0","0","0"
"139574","0","0","0"
"139983","0","0","0"
"140195","0","0","0"
"140307","0","0","0"
"140319","0","0","0"
"140674","0","0","0"
"140799","0","0","0"
"141239","2","2","2"
"141549","0","0","0"
"142012","0","0","0"
"142089","0","0","0"
"142111","0","0","0"
"142367","0","0","0"
"142393","0","0","0"
"142458","0","0","0"
"142748","0","0","0"
"142766","0","0","0"
"142785","0","0","0"
