Experiment 1/8: {'learning_rate': 0.0005, 'batch_size': 64, 'epsilon_decay': 0.999985, 'gamma': 0.99}
Frame:1822 | Total games:20 | Mean reward: -222.015 (epsilon: 0.97)
Frame:2838 | Total games:30 | Mean reward: -187.551 (epsilon: 0.96)
Frame:3781 | Total games:40 | Mean reward: -174.991 (epsilon: 0.94)
Frame:4706 | Total games:50 | Mean reward: -173.057 (epsilon: 0.93)
Frame:5769 | Total games:60 | Mean reward: -187.078 (epsilon: 0.92)
Frame:6637 | Total games:70 | Mean reward: -109.178 (epsilon: 0.91)
Frame:7595 | Total games:80 | Mean reward: -146.173 (epsilon: 0.89)
Frame:8550 | Total games:90 | Mean reward: -139.153 (epsilon: 0.88)
Frame:9555 | Total games:100 | Mean reward: -85.805 (epsilon: 0.87)
Frame:10599 | Total games:110 | Mean reward: -164.538 (epsilon: 0.85)
Frame:11555 | Total games:120 | Mean reward: -153.170 (epsilon: 0.84)
Frame:12523 | Total games:130 | Mean reward: -181.186 (epsilon: 0.83)
Frame:13547 | Total games:140 | Mean reward: -169.772 (epsilon: 0.82)
Frame:14602 | Total games:150 | Mean reward: -109.842 (epsilon: 0.80)
Frame:15619 | Total games:160 | Mean reward: -173.027 (epsilon: 0.79)
Frame:16614 | Total games:170 | Mean reward: -189.120 (epsilon: 0.78)
Frame:17683 | Total games:180 | Mean reward: -196.431 (epsilon: 0.77)
Frame:18651 | Total games:190 | Mean reward: -197.531 (epsilon: 0.76)
Frame:19681 | Total games:200 | Mean reward: -191.904 (epsilon: 0.74)
Frame:20590 | Total games:210 | Mean reward: -92.264 (epsilon: 0.73)
Frame:21720 | Total games:220 | Mean reward: -126.396 (epsilon: 0.72)
Frame:22685 | Total games:230 | Mean reward: -146.110 (epsilon: 0.71)
Frame:23810 | Total games:240 | Mean reward: -94.480 (epsilon: 0.70)
Frame:24792 | Total games:250 | Mean reward: -83.156 (epsilon: 0.69)
Frame:25684 | Total games:260 | Mean reward: -61.287 (epsilon: 0.68)
Frame:27388 | Total games:270 | Mean reward: -118.492 (epsilon: 0.66)
Frame:28411 | Total games:280 | Mean reward: -84.373 (epsilon: 0.65)
Frame:29439 | Total games:290 | Mean reward: -88.372 (epsilon: 0.64)
Frame:30501 | Total games:300 | Mean reward: -74.132 (epsilon: 0.63)
Frame:31440 | Total games:310 | Mean reward: -97.384 (epsilon: 0.62)
Frame:32386 | Total games:320 | Mean reward: -79.237 (epsilon: 0.62)
Frame:33419 | Total games:330 | Mean reward: -65.456 (epsilon: 0.61)
Frame:34657 | Total games:340 | Mean reward: -84.258 (epsilon: 0.59)
Frame:35708 | Total games:350 | Mean reward: -90.913 (epsilon: 0.59)
Frame:36763 | Total games:360 | Mean reward: -61.051 (epsilon: 0.58)
Frame:37859 | Total games:370 | Mean reward: -72.085 (epsilon: 0.57)
Frame:38952 | Total games:380 | Mean reward: -95.067 (epsilon: 0.56)
Frame:40090 | Total games:390 | Mean reward: -52.130 (epsilon: 0.55)
Frame:41083 | Total games:400 | Mean reward: -63.470 (epsilon: 0.54)
Frame:42154 | Total games:410 | Mean reward: -103.336 (epsilon: 0.53)
Frame:43185 | Total games:420 | Mean reward: -90.152 (epsilon: 0.52)
Frame:44363 | Total games:430 | Mean reward: -69.955 (epsilon: 0.51)
Frame:45516 | Total games:440 | Mean reward: -102.231 (epsilon: 0.51)
Frame:46587 | Total games:450 | Mean reward: -105.354 (epsilon: 0.50)
Frame:47583 | Total games:460 | Mean reward: -88.079 (epsilon: 0.49)
Frame:48523 | Total games:470 | Mean reward: -140.084 (epsilon: 0.48)
Frame:49477 | Total games:480 | Mean reward: -97.058 (epsilon: 0.48)
Frame:50519 | Total games:490 | Mean reward: -107.963 (epsilon: 0.47)
Frame:52464 | Total games:500 | Mean reward: -125.223 (epsilon: 0.46)
Frame:53474 | Total games:510 | Mean reward: -100.517 (epsilon: 0.45)
Frame:55377 | Total games:520 | Mean reward: -142.163 (epsilon: 0.44)
Frame:56461 | Total games:530 | Mean reward: -101.454 (epsilon: 0.43)
Frame:57410 | Total games:540 | Mean reward: -136.408 (epsilon: 0.42)
Frame:59370 | Total games:550 | Mean reward: -138.961 (epsilon: 0.41)
Frame:60415 | Total games:560 | Mean reward: -145.307 (epsilon: 0.40)
Frame:62952 | Total games:570 | Mean reward: -146.452 (epsilon: 0.39)
Frame:63909 | Total games:580 | Mean reward: -154.321 (epsilon: 0.38)
Frame:65734 | Total games:590 | Mean reward: -169.605 (epsilon: 0.37)
Frame:66893 | Total games:600 | Mean reward: -137.264 (epsilon: 0.37)
Frame:67937 | Total games:610 | Mean reward: -161.923 (epsilon: 0.36)
Frame:68967 | Total games:620 | Mean reward: -155.080 (epsilon: 0.36)
Frame:70013 | Total games:630 | Mean reward: -140.450 (epsilon: 0.35)
Frame:71294 | Total games:640 | Mean reward: -129.306 (epsilon: 0.34)
Frame:72448 | Total games:650 | Mean reward: -127.584 (epsilon: 0.34)
Frame:73622 | Total games:660 | Mean reward: -113.166 (epsilon: 0.33)
Frame:74729 | Total games:670 | Mean reward: -121.557 (epsilon: 0.33)
Frame:75750 | Total games:680 | Mean reward: -94.348 (epsilon: 0.32)
Frame:77067 | Total games:690 | Mean reward: -152.829 (epsilon: 0.31)
Frame:78387 | Total games:700 | Mean reward: -128.127 (epsilon: 0.31)
Frame:79995 | Total games:710 | Mean reward: -159.998 (epsilon: 0.30)
Frame:81295 | Total games:720 | Mean reward: -84.765 (epsilon: 0.30)
Frame:83242 | Total games:730 | Mean reward: -99.160 (epsilon: 0.29)
